WEB09234.jpg | 0.51s | F:0 S:0 | Desc: N/A...
WEB09236.jpg | 21.91s | F:0 S:1 | Desc: Smoke is rising from a distant...
WEB09237.jpg | 0.93s | F:0 S:0 | Desc: N/A...
WEB09240.jpg | 1.07s | F:0 S:0 | Desc: N/A...
WEB09241.jpg | 0.85s | F:0 S:0 | Desc: N/A...
WEB09242.jpg | 0.63s | F:0 S:0 | Desc: N/A...
WEB09243.jpg | 0.65s | F:0 S:0 | Desc: N/A...
WEB09244.jpg | 0.67s | F:0 S:0 | Desc: N/A...
WEB09245.jpg | 7.14s | F:1 S:1 | Desc: Large fire with thick smoke bi...
WEB09246.jpg | 0.60s | F:0 S:0 | Desc: N/A...
WEB09248.jpg | 0.41s | F:0 S:0 | Desc: N/A...
WEB09250.jpg | 0.46s | F:0 S:0 | Desc: N/A...
WEB09251.jpg | 0.48s | F:0 S:0 | Desc: N/A...
WEB09252.jpg | 0.44s | F:0 S:0 | Desc: N/A...
WEB09253.jpg | 0.48s | F:0 S:0 | Desc: N/A...
WEB09255.jpg | 0.46s | F:0 S:0 | Desc: N/A...
WEB09257.jpg | 0.41s | F:0 S:0 | Desc: N/A...
WEB09258.jpg | 0.43s | F:0 S:0 | Desc: N/A...
WEB09263.jpg | 0.43s | F:0 S:0 | Desc: N/A...
WEB09267.jpg | 0.47s | F:0 S:0 | Desc: N/A...
WEB09268.jpg | 0.46s | F:0 S:0 | Desc: N/A...
WEB09269.jpg | 0.44s | F:0 S:0 | Desc: N/A...
WEB09270.jpg | 0.48s | F:0 S:0 | Desc: N/A...
WEB09272.jpg | 7.45s | F:1 S:1 | Desc: Smoke is visible in the forest...
WEB09273.jpg | 0.44s | F:0 S:0 | Desc: N/A...
WEB09276.jpg | 0.28s | F:0 S:0 | Desc: N/A...
WEB09279.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09280.jpg | 0.28s | F:0 S:0 | Desc: N/A...
WEB09304.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09306.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09312.jpg | 0.28s | F:0 S:0 | Desc: N/A...
WEB09316.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09326.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09327.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09332.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09333.jpg | 6.51s | F:2 S:2 | Desc: Large plumes of smoke rising f...
WEB09338.jpg | 0.52s | F:0 S:0 | Desc: N/A...
WEB09339.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09340.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09341.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09342.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09344.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09345.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09347.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09348.jpg | 0.28s | F:0 S:0 | Desc: N/A...
WEB09353.jpg | 13.35s | F:0 S:1 | Desc: A large plume of smoke is risi...
WEB09354.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09358.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09359.jpg | 12.87s | F:0 S:1 | Desc: A large plume of smoke is risi...
WEB09360.jpg | 13.30s | F:0 S:1 | Desc: A large cloud of dust or smoke...
WEB09364.jpg | 15.67s | F:1 S:1 | Desc: A large fire is engulfing a bu...
WEB09367.jpg | 16.14s | F:0 S:1 | Desc: Large plume of smoke rising in...
WEB09370.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09372.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09417.jpg | 0.32s | F:0 S:0 | Desc: N/A...
WEB09418.jpg | 15.35s | F:0 S:1 | Desc: Large plume of dark smoke risi...
WEB09419.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09420.jpg | 0.32s | F:0 S:0 | Desc: N/A...
WEB09421.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09422.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09424.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09425.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09427.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09430.jpg | 0.32s | F:0 S:0 | Desc: N/A...
WEB09431.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09432.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09433.jpg | 0.30s | F:0 S:0 | Desc: N/A...
WEB09435.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09437.jpg | 3.10s | F:0 S:1 | Desc: A large plume of smoke rises i...
WEB09438.jpg | 3.86s | F:1 S:1 | Desc: A large fire is burning in a f...
WEB09439.jpg | 0.29s | F:0 S:0 | Desc: N/A...
WEB09440.jpg | 0.31s | F:0 S:0 | Desc: N/A...
WEB09441.jpg | 4.80s | F:2 S:1 | Desc: A large area of land with visi...
WEB09442.jpg | 0.31s | F:0 S:0 | Desc: N/A...
